cost_usd,item_id,latency_ms,llm_calls,ok,system,tokens_total,topic,topics_n
0.0001857,F007,4251.582700000654,3,True,LG,818,Microsoft Azure revenue growth;intelligent cloud segment revenue;AI infrastructure investment;AI-powered services adoption;enterprise artificial intelligence deployment;Copilot AI assistant suite;Azure OpenAI Service usage;Fortune 500 companies usage,8
5.4e-05,F007,809.3804000000091,1,True,TB,297,big_tech_financial_impact;earnings;guidance,3
0.00017595,F008,5078.858599999876,3,True,LG,783,high interest rates impact;consumer spending weakness;economic recession concerns;U.S. retail sales decline;Federal Reserve monetary policy;consumer sentiment pessimism;debt servicing costs;job security concerns,8
5.46e-05,F008,1448.7411999998585,1,True,TB,292,retail_sales;consumer_sentiment;monetary_policy;inflation,4
0.0002319,F009,7283.52249999989,3,True,LG,940,Goldman Sachs Q2 results;net revenue;earnings per share;investment banking fees;fixed income trading revenue;equities trading revenue;asset and wealth management inflows;merger and acquisition activity;corporate debt issuance;market volatility;corporate financing activity;capital markets conditions;credit spreads,13
5.13e-05,F009,1159.8871000005602,1,True,TB,294,earnings;guidance;general_market,3
0.00015884999999999999,F010,4205.296099999032,3,True,LG,738,Google antitrust ruling;search engine market share;Alphabet stock decline;structural remedies for Google;digital advertising revenue;Department of Justice measures,6
5.52e-05,F010,1361.742899998717,1,True,TB,293,regulation;big_tech_financial_impact;earnings;guidance,4
0.00016185,F011,4975.857099998393,3,True,LG,752,Consumer Confidence Index;spending reduction;Federal Reserve interest rates;economic anxiety;inflation concerns;job loss fears;borrowing costs,7
5.535e-05,F011,1726.6987999992125,1,True,TB,297,consumer_sentiment;inflation;monetary_policy;retail_sales,4
0.00022365,F012,6443.271300000561,3,True,LG,915,ExxonMobil earnings;shareholder returns;global oil prices;dividends;robust demand;Brent crude prices;share buybacks;supply constraints;lower-carbon energy investments;carbon capture technologies;natural gas output;refining margins;gasoline demand;diesel demand,14
5.2799999999999996e-05,F012,898.7715000002936,1,True,TB,295,earnings;global_oil_prices;retail_sales,3
0.00016575,F013,3672.6028000011866,3,True,LG,766,Meta quarterly revenue;AI improvements in advertising;ad click-through rate improvement;AI-generated content impact;user engagement increase;daily active users growth;Reality Labs losses,7
5.1599999999999994e-05,F013,968.5515999990457,1,True,TB,293,earnings;big_tech_financial_impact,2
0.00018165,F014,3818.006899999091,3,True,LG,806,West Texas Intermediate crude oil prices;China economic data impact;global energy demand concerns;Chinese oil demand growth;China manufacturing PMI;energy sector equities decline;OPEC+ production cuts;exploration and production companies,8
5.2199999999999995e-05,F014,983.0177000003459,1,True,TB,294,global_oil_prices;opec_production_cuts,2
0.00018629999999999997,F015,4557.842599999276,3,True,LG,816,Bank of America commercial real estate exposure;loan loss provisions;refinancing challenges;declining property values;rising vacancy rates;diversified CRE portfolio;remote work impacts;office asset performance,8
5.295e-05,F015,1374.0273000003072,1,True,TB,293,loan_loss_provisions;bank_financial_health;earnings,3
0.0001809,F016,4712.376399998902,3,True,LG,819,Amazon AWS revenue growth;operating income AWS;investment in AI chips;cloud computing market share;contract wins with Fortune 100;competition from Microsoft Azure;competition from Google Cloud,7
6.15e-05,F016,1517.737500000294,1,True,TB,317,ai_chip_demand;earnings;guidance;big_tech_financial_impact;general_market,5
0.00020085,F017,4053.432900000189,3,True,LG,862,core PCE inflation;Federal Reserve interest rate policy;Treasury yields;services inflation;equity market reaction;housing costs;healthcare costs;monetary policy tightening;insurance costs;energy prices;gasoline costs,11
5.2799999999999996e-05,F017,777.7690000002622,1,True,TB,298,inflation;monetary_policy;general_market,3
0.0002247,F018,5865.658500000791,3,True,LG,928,Chevron share repurchase program;capital returns to shareholders;Chevron dividend increase;net debt reduction;total shareholder returns;free cash flow generation;oil and gas price strength;capital allocation;financial flexibility;upstream production;operational efficiency;Permian Basin operations;liquefied natural gas projects,13
5.684999999999999e-05,F018,1228.1592000017554,1,True,TB,307,earnings;guidance;global_oil_prices;bank_financial_health,4
0.0002205,F019,5924.736700000722,3,True,LG,912,Federal Open Market Committee decision;federal funds rate;inflation levels;Fed Chair Powell statements;employment data;rate cut timeline;economic activity resilience;unemployment rate;nonfarm payrolls;financial markets expectations;consumer spending;business investment;labor market tightness,13
5.325e-05,F019,1067.515299999286,1,True,TB,298,monetary_policy;inflation;consumer_sentiment,3
0.00021765,F020,4810.976699998719,3,True,LG,899,Walmart earnings guidance;e-commerce revenue growth;market share gains;back-to-school sales;price-sensitive consumers;comparable store sales growth;essential purchases focus;omnichannel investments;advertising revenue;trading down consumers;discretionary spending reduction;Walmart+ subscribers,12
5.429999999999999e-05,F020,905.5236999993213,1,True,TB,296,earnings;guidance;consumer_sentiment;retail_sales,4
0.00019769999999999998,F021,4988.391599999886,3,True,LG,844,10-year U.S. Treasury yield;federal deficits;bond market yields;government debt;interest payments on federal debt;borrowing costs;fiscal sustainability;inflation risks;economic growth headwinds;debt crisis,10
5.1599999999999994e-05,F021,1090.6593000017892,1,True,TB,290,monetary_policy;inflation;general_market,3
0.00019184999999999997,F022,4190.9103999987565,3,True,LG,853,Intel restructuring plan;quarterly loss;workforce reductions;dividend suspension;AI accelerator market competition;revenue decline;capital expenditures reduction;foundry division losses;advanced process nodes challenges,9
5.82e-05,F022,1069.6500999983982,1,True,TB,316,ai_chip_demand;earnings;guidance;bank_financial_health,4
0.0002391,F023,4792.025800001284,3,True,LG,1012,Bitcoin price increase;institutional investor allocations;SEC regulatory guidance;reduced regulatory uncertainty;spot Bitcoin ETFs inflows;fiduciary Bitcoin allocations;qualified custodian standards;pension funds market entry;institutional portfolio diversification;investor reporting obligations;derivatives market volatility;anti-money laundering procedures;data portability regulations,13
6.39e-05,F023,851.5005999997811,1,True,TB,348,regulation;big_tech_financial_impact;consumer_sentiment;general_market,4
0.00018645,F024,5095.9359999997105,3,True,LG,832,European Central Bank interest rate cut;eurozone economic growth;Germany technical recession;EUR/USD exchange rate decline;manufacturing activity in Europe;U.S. multinational corporations impact;Christine Lagarde statement,7
5.37e-05,F024,1012.8289999993285,1,True,TB,304,monetary_policy;inflation;general_market,3
0.000213,F025,4079.174899999998,3,True,LG,946,food inflation impact;grocery retail decline;grocery basket size reduction;consumer sentiment on affordability;customer foot traffic drop;margin pressures from wholesale costs;private-label brand shift;National Retail Federation warning;discount offerings expansion,9
5.909999999999999e-05,F025,921.9248999997944,1,True,TB,340,inflation;retail_sales;consumer_sentiment,3
0.0002055,F026,4204.713200000697,3,True,LG,971,OPEC production cuts;Brent crude prices;oil demand growth forecasts;Saudi Arabia and Russia commitment;West Texas Intermediate crude;electric vehicle adoption impact;market share losses to U.S. shale,7
6.465e-05,F026,786.1515999993571,1,True,TB,377,opec_production_cuts;global_oil_prices,2
0.0002229,F027,6581.326699999408,3,True,LG,1012,Citigroup earnings;regulatory compliance costs;asset growth restrictions;lending capacity constraints;risk management deficiencies;competitive positioning;return on tangible common equity;federal banking regulators;technology infrastructure investments;CEO Jane Fraser statements,10
6.405e-05,F027,1128.1815000002098,1,True,TB,373,earnings;regulation;bank_financial_health,3
0.00021464999999999999,F028,5083.710599999904,3,True,LG,927,mortgage rates impact;consumer spending constraints;consumer sentiment decline;big-ticket discretionary purchases;home improvement market weakness;Home Depot earnings guidance;housing market outlook;renovation project deferral;comparable store sales decline;professional contractor spending,10
5.879999999999999e-05,F028,1112.412200000108,1,True,TB,326,guidance;consumer_sentiment;retail_sales;inflation,4
0.00022229999999999998,F029,5790.73470000003,3,True,LG,918,Federal Reserve interest rates;inflation expectations;Treasury yields;monetary policy easing;economic activity;equity valuations;rate cut expectations;consumer spending;Cleveland Fed President speech;labor markets;services inflation;real estate sector;utilities sector,13
5.58e-05,F029,1496.300999999221,1,True,TB,303,monetary_policy;inflation;consumer_sentiment;general_market,4
0.0002115,F030,5427.195900001607,3,True,LG,963,ConocoPhillips earnings;global oil prices;Permian Basin production;free cash flow generation;capital returns to shareholders;OPEC+ production discipline;Brent crude price forecast;geopolitical supply disruptions;emerging markets demand,9
6.18e-05,F030,1196.8233000006876,1,True,TB,358,earnings;global_oil_prices;guidance,3
0.00025289999999999997,F031,7390.121099999305,3,True,LG,1116,Producer Price Index increase;inflation expectations;inflationary pressures;consumer sentiment decline;monetary policy tightening;goods inflation;Federal Reserve interest rate policy;University of Michigan Index;energy product prices;purchasing power erosion;food prices increase;services costs;transportation margins,13
6.795e-05,F031,1080.4129999996803,1,True,TB,396,inflation;consumer_sentiment;monetary_policy,3
0.0002535,F032,7545.36569999982,3,True,LG,1015,Morgan Stanley wealth management;wealth management revenue share;client assets milestone;business model transformation;net new asset flows;quarterly revenue growth;earnings stability;market appreciation impact;predictable revenue streams;capital efficiency;pre-tax margins expansion;E*TRADE acquisition;Eaton Vance acquisition;financial advisor headcount;productivity metrics improvement,15
5.46e-05,F032,999.6616999997059,1,True,TB,310,earnings;guidance;bank_financial_health,3
0.00025485,F033,5431.208599999081,3,True,LG,1141,foreign exchange translation losses;dollar strength impact;currency fluctuations impact;international operations revenue;U.S. Dollar Index;Alphabet earnings warning;Federal Reserve monetary policy;Apple earnings impact;earnings estimates revision;interest rates;Microsoft Azure revenue decline;monetary policy divergence,12
7.29e-05,F033,1012.0158000008814,1,True,TB,417,monetary_policy;earnings;big_tech_financial_impact,3
0.00023055,F034,5397.306400000161,3,True,LG,1078,Berkshire Hathaway earnings;Apple holdings reduction;reallocation of capital;high interest rates impact;capital gains from Apple;fixed-income securities attractiveness;cash and Treasury holdings;investment income from insurance operations;Treasury yields above 5%,9
7.305e-05,F034,1030.1225999992312,1,True,TB,418,earnings;monetary_policy;big_tech_financial_impact,3
0.00025305,F035,5084.446599999865,3,True,LG,1141,U.S. export restrictions on semiconductors;AI chip development;Nvidia revenue decline;impact on U.S. semiconductor equipment revenue;AI chip demand from North America and Europe;Chinese semiconductor manufacturing;Chinese domestic chip development;regulatory compliance for semiconductor companies;semiconductor industry trade association concerns;national security concerns,10
7.56e-05,F035,1304.1492000011203,1,True,TB,423,regulation;ai_chip_demand;guidance;big_tech_financial_impact,4
0.00026639999999999997,F036,5574.26729999861,3,True,LG,1221,Wells Fargo Q3 results;Federal Reserve monetary policy;net interest income decline;high-rate environment;deposit competition;net interest margin compression;loan loss provisions increase;total deposits decline;credit quality deterioration;regulatory asset cap restrictions;return on assets;return on equity,12
8.085e-05,F036,1217.410100000052,1,True,TB,461,monetary_policy;loan_loss_provisions;bank_financial_health;regulation,4
0.0002415,F037,4354.23240000091,3,True,LG,1199,U.S. unemployment rate increase;Federal Reserve interest rate cuts;labor market conditions;retail trade job losses;retail sales decline projection;nonfarm payrolls growth;consumer sentiment decline;average hourly earnings growth,8
8.475e-05,F037,1028.054800000973,1,True,TB,493,monetary_policy;inflation;retail_sales;consumer_sentiment,4
0.00025305,F038,5149.595099999715,3,True,LG,1210,Pfizer quarterly earnings;inflation in prescription drug costs;earnings guidance cut;medical cost inflation;revenue decline;price increase on medications;specialty medication costs;pharmaceutical earnings headwinds;Consumer Price Index for medical care;patient access challenges,10
8.07e-05,F038,1046.450099998765,1,True,TB,475,earnings;guidance;inflation;consumer_sentiment,4
0.0002562,F039,6495.7675999994535,3,True,LG,1246,U.S. Bancorp earnings;regulatory compliance issues;Bank Secrecy Act deficiencies;loan loss provisions;civil money penalties;profitability strain;regulatory oversight;credit quality deterioration;non-performing loans;Tier 1 capital ratio,10
8.58e-05,F039,1138.1366999994498,1,True,TB,500,earnings;regulation;loan_loss_provisions;bank_financial_health,4
0.00021299999999999997,F040,4991.043400001217,3,True,LG,925,BlackRock assets under management;BlackRock quarterly revenue;BlackRock earnings per share;iShares ETF net new assets;Aladdin risk management platform;AI-powered portfolio management;Larry Fink retirement security challenges;energy transition investment;infrastructure investment needs;BlackRock operating margin,10
6.0899999999999996e-05,F040,1086.4206999995076,1,True,TB,331,earnings;guidance;big_tech_financial_impact;general_market,4
0.00026579999999999996,F041,4536.148000001049,3,True,LG,1259,FTC data portability regulations;retail market competition;e-commerce compliance costs;Amazon capital expenditures;data infrastructure investment;consumer choice enhancement;operating margin impact;cybersecurity risks for retailers;customer data transfer effects;market share redistribution;customer lifetime value metrics,11
8.07e-05,F041,1645.2881000004709,1,True,TB,484,regulation;retail_sales;consumer_sentiment,3
0.00022425,F042,4058.9652999988175,3,True,LG,961,TSMC quarterly results;revenue growth;semiconductor supply chain;3-nanometer technology;5-nanometer technology;Apple processors;investment in Arizona;competition with Samsung and Intel;Nvidia AI accelerators;gross margins expansion;AMD data center CPUs;U.S.-China tensions,12
6.539999999999999e-05,F042,1561.9162000002689,1,True,TB,343,ai_chip_demand;earnings;guidance;big_tech_financial_impact;general_market,5
0.00019575000000000001,F043,4940.02989999899,3,True,LG,867,natural gas futures surge;natural gas inventory decline;early severe winter forecast;increased fuel costs for utilities;liquefied natural gas exports;higher electricity prices forecast;EQT Corporation stock rally;Chesapeake Energy stock rally,8
4.47e-05,F043,626.6821999997774,1,True,TB,295,,0
0.00019529999999999998,F044,7517.054999998436,3,True,LG,864,JPMorgan Bitcoin fund;institutional investors;Bitcoin alternative asset class;spot Bitcoin ETFs;cryptocurrency investments;mainstreaming of cryptocurrency;regulatory clarity;asset management division;blockchain research;minimum investment,10
5.67e-05,F044,1072.4386000001687,1,True,TB,315,big_tech_financial_impact;regulation;general_market,3
0.00020294999999999997,F045,3834.052000000156,3,True,LG,897,Coca-Cola earnings report;price increases;revenue growth;average selling prices;diverse product portfolio;operating margins;inflationary resilience;unit case volume decline;consumer price sensitivity,9
5.879999999999999e-05,F045,1352.6146000003791,1,True,TB,326,earnings;inflation;consumer_sentiment;retail_sales,4
0.0001788,F046,3218.982099999266,3,True,LG,832,401(k) account balances;retirement savings discipline;employer matching contributions;retirement preparedness;target-date funds;equity market performance;income disparities in retirement,7
5.6099999999999995e-05,F046,1008.7806999999884,1,True,TB,320,retail_sales;consumer_sentiment;earnings,3
0.00021375,F047,5349.679199998718,3,True,LG,924,Digital Markets Act impact;Apple regulatory changes;third-party app stores;penalties for non-compliance;interoperability requirements;global revenue impact;alternative payment systems;self-preferencing prohibition;data portability mandate;U.S. tech companies response,10
5.565e-05,F047,942.9632000010315,1,True,TB,320,regulation;big_tech_financial_impact,2
0.00022185,F048,5133.264300000519,3,True,LG,945,construction equipment demand;capital investments delay;Chinese demand weakness;Caterpillar revenue outlook;manufacturing sector signal;North American sales decline;mining equipment demand;interest rates impact;property sector crisis;temporary production curtailments;dealer inventories;infrastructure spending support,12
5.82e-05,F048,939.3600999992486,1,True,TB,325,earnings;guidance;consumer_sentiment;general_market,4
0.00019905,F049,3724.4900000005146,3,True,LG,952,OPEC+ production cuts;Brent crude prices;Saudi Arabia output restriction;global oil demand forecast;Russia export reduction;market stability commitment;U.S. shale operations impact,7
6.435e-05,F049,778.1310999998823,1,True,TB,375,opec_production_cuts;global_oil_prices,2
0.00021344999999999998,F050,4014.8506999994424,3,True,LG,931,AMD MI300 series launch;data center and AI revenue;AI accelerators performance;Wall Street analysts price targets;market share from Nvidia;reduction of dependence on Nvidia;cloud providers adopting AMD chips;AMD's existing relationships;initial orders value;3D packaging technology,10
6.255e-05,F050,1389.0854000001127,1,True,TB,336,ai_chip_demand;earnings;guidance;big_tech_financial_impact,4
